id,soc.t.ha,thickness.dm,x,y
P 018221,14.77780318,0.6,2523331.856,691354.4259
P 018222,180.6739563,12.5,2545179.607,686399.2531
P 018223,109.1860372,12.5,2549005.078,674709.5148
P 018224,16.57189371,2,2573428.689,672567.3429
P 018225,8.705111049,0.8,2615454.453,698536.0806
P 018226,22.13006393,1,2686227.161,675839.1729
P 018227,9.318648252,0.3,2655577.019,682127.7816
P 018228,47.09897511,1.1,2700569.86,717601.3814
P 020035,51.42038493,6.2,2732030.545,747215.795
P 020038,155.1996214,12.5,2806796.441,745550.6691
P 020040,52.88826183,5.1,2792920.153,741913.8984
P 020047,100.6248082,12.5,2738548.002,729085.5628
P 020054,85.15854028,10.5,2853271.164,725001.3972
P 020056,67.63518689,4.5,2736581.964,717760.3981
P 020058,49.69328062,1.9,2918135.284,719733.5865
P 020062,56.54086353,6.5,2852140.362,713276.3248
P 020063,70.59954405,10,2889969.669,713107.9839
P 020065,56.43350631,3.5,2793926.507,710213.6735
P 020075,102.30969,10,2896893.784,698236.1753
P 020085,97.16557633,3.4,2752725.595,684646.3335
P 020086,25.58080279,1.9,2722381.563,683980.0766
P 020101,31.47864805,0.9,2863438.136,679442.1628
P 020102,19.95782049,0.7,2883727.061,694079.467
P 020103,26.53431665,0.9,2911111.469,724000.2061
P 020104,40.049762,1.9,2892339.612,703510.14
P 020105,29.2587997,0.8,2871685.042,722924.5939
P 020106,11.73754548,3,2868812.308,770894.4139
P 020107,27.04444791,3.4,2916954.066,774174.544
P 020108,83.58687036,2.1,2887465.07,764320.3253
P 020109,26.68995821,0.7,2830880.253,672527.594
P 020110,11.12839745,2.8,2819136.477,677376.1312
P 020112,20.02543184,0.9,2835893.538,716867.9164
P 020113,46.69609581,2.5,2814549.751,729949.3812
P 020114,212.8480519,12.5,2826835.075,757558.7093
P 020115,74.32070172,4.1,2838251.245,776437.3007
P 020116,71.26164741,2.8,2726588.513,733937.5757
P 020117,15.36129805,1,2719999.427,715611.8277
P 020121,88.52687024,2.4,2768068.192,719576.5969
P 020123,88.19984028,3.2,2790881.414,722444.4681
P 020124,59.16930803,1.2,2763720.97,733158.412
P 020125,187.1130481,4.8,2799159.789,746679.5958
P 020126,8.429875439,3,2789270.188,745437.0606
P 020128,144.3195845,13,2775285.98,779445.8067
P 020130,141.5882252,4.8,2752939.496,726091.525
P 020131,94.42715392,3.6,2781534.918,701972.1007
P 020132,75.88470783,2.3,2797443.566,732918.3481
P 020133,118.7428013,7.2,2832146.217,779186.1665
P 020134,103.578693,10,2854066.855,725725.7059
P 020135,1.91228493,1.5,2873691.054,767362.7986
P 022101,146.2963834,3.6,3030162.507,694103.1497
P 022102,95.35495164,2,3055249.419,691805.6193
P 022103,34.76597714,1.8,3070190.689,694573.0744
P 022104,58.16040645,2.2,3088171.758,690098.2066
P 022105,30.28869067,1.9,3122074.511,685580.5485
P 022106,93.98006022,6,3109273.272,694589.4736
P 022107,176.1037694,6.6,3110200.67,709501.898
P 022108,54.44620475,13,3101034.464,744312.8143
P 022109,155.7415319,2.4,3041657.335,730793.2708
P 022110,153.6574797,13,3056249.245,729296.0997
P 022111,77.63725338,3.2,3104926.051,769252.4147
P 022112,126.7599791,2,3083437.436,771413.8241
P 022113,33.86921152,2.2,3064180.177,783667.0028
P 022114,130.1535475,13,3014934.68,749543.8954
P 022115,227.9652507,11,3024018.198,750931.3378
P 022116,337.474975,12.5,3004869.018,780916.0222
P 022117,8.803390992,0.9,2950400.835,691583.0848
P 022118,84.79629566,1.3,2957806.518,710912.4627
P 022119,81.6047357,2,2991600.97,684782.1651
P 022120,64.42202209,3.3,2998765.402,697491.4215
P 022121,16.72584031,0.6,2995806.614,733088.2009
P 022122,37.91618716,1.8,2992452.014,717345.1934
P 022123,105.9524727,2.2,2966706.02,727678.1464
P 022124,25.47632938,2.7,2927640.544,698757.383
P 022125,7.684168281,0.9,2935368.499,698516.0458
P 022126,17.96378296,1.2,2941757.738,707948.0563
P 022127,48.00787735,9.7,3010893.263,731204.8679
P 022128,25.66325704,2.6,2966528.629,769397.2777
P 022129,50.52060067,2.4,2925322.147,770572.3084
P 022130,41.51395157,1,2930997.668,751886.3806
P 022131,26.92070804,1.5,2932027.955,760848.6724
P 024005,75.38030963,3.5,2522544.553,660764.322
P 024007,45.74255138,4.9,2574903.817,660475.819
P 024009,56.15959167,5.4,2570656.001,657176.2846
P 024012,21.86473535,2.8,2533884.701,646828.7854
P 024014,84.68551837,5.4,2557183.365,645314.4465
P 024016,73.85672285,12.5,2540044.546,638237.6746
P 024020,47.89142728,2.6,2581457.731,635447.9175
P 024025,97.75841275,12.5,2617579.309,627310.104
P 024028,38.55128292,2.8,2574794.26,623163.022
P 024029,35.50260479,5,2568471.698,617354.9514
P 024030,14.10157155,2,2560216.122,617284.5259
P 024031,123.5129454,12.5,2607410.948,614929.0444
P 024033,6.196708062,2.6,2572330.351,614182.1059
P 024035,73.68417569,12.5,2630187.673,614082.7645
P 024038,215.311701,10,2700102.645,609400.9012
P 024041,24.6175665,4.8,2616622.51,605718.9768
P 024045,45.98142488,7.4,2602239.66,600716.831
P 024047,80.05750823,4.7,2646779.6,598993.5522
P 024052,18.78696976,1.7,2620149.77,595797.0526
P 024054,9.98824778,0.8,2635427.363,591481.378
P 024055,85.93425628,12,2681262.348,589754.7555
P 024062,63.34837526,3.4,2673409.186,585269.4546
P 024064,1.34725662,1,2621397.72,580774.9246
P 024065,11.28714577,2.2,2625605.356,580648.015
P 024070,41.19186461,4.7,2700150.862,577592.87
P 024201,26.91112364,7,2683878.995,659884.259
P 024202,46.60424391,5.3,2686573.203,666089.8063
P 024203,35.77921391,2,2649888.706,667799.6127
P 024204,77.29429889,8.7,2582475.621,665569.9269
P 024205,117.5578121,12.5,2591833.834,644570.6968
P 024206,81.73841918,12.5,2540426.474,661701.8078
P 024207,81.46738168,9,2537560.723,666191.3196
P 024208,31.35640072,2,2538221.597,644581.0629
P 024209,101.5155388,12.5,2609889.905,630265.3355
P 024210,42.25786876,1.8,2633213.463,627811.8628
P 024211,45.05184253,8.5,2653362.384,608071.0506
P 024212,364.4851426,6.5,2653012.861,576151.505
P 024214,112.2455906,12.5,2681452.158,583826.3398
P 025000,163.3610726,12.5,2702391.973,555915.1174
P 026005,119.8979814,1.3,2858695.819,667093.9492
P 026007,89.45895329,6.3,2779255.26,663295.7627
P 026008,42.12744682,2.3,2909509.325,664575.2272
P 026009,14.63501381,0.7,2894793.722,662891.8962
P 026014,55.5087579,0.6,2875932.381,655429.7062
P 026015,39.51443511,1.2,2863682.833,654934.8094
P 026020,147.8619126,2,2892076.775,649795.6971
P 026021,52.51144182,5.6,2748776.519,645956.6077
P 026025,368.813791,4.8,2779268.84,643450.5274
P 026028,80.79544573,1.3,2765156.096,639663.9366
P 026034,339.7604357,12.5,2869488.834,633941.4463
P 026035,11.57411073,0.9,2920001.688,634864.9442
P 026036,90.29578912,1.9,2740505.163,629892.5464
P 026048,178.1945224,7.2,2777617.749,624322.6129
P 026053,4.768520804,1,2867136.606,623586.2822
P 026056,67.24963179,2.2,2895851.273,622545.1164
P 026060,16.98807427,0.5,2885497.207,620212.472
P 026064,68.17943106,4.7,2752672.933,613183.792
P 026066,325.5955227,10,2777477.259,611964.104
P 026087,141.8731949,2.8,2898390.911,594218.5138
P 026093,92.40539819,0.8,2912165.793,582047.8462
P 026109,95.73102487,7,2863858.191,623111.0461
P 026110,82.60299903,12.5,2858151.916,603642.136
P 026111,58.20050766,4,2834232.311,616699.7078
P 026112,53.67890626,2.5,2818285.86,625759.1572
P 026113,79.07668044,12.5,2828014.263,629946.0139
P 026115,18.57012844,6,2804834.732,618508.7999
P 026116,92.99322577,9,2804839.878,639601.1192
P 026120,68.53654247,7,2735765.212,638683.1811
P 026121,37.13049781,2.5,2746160.454,599415.4892
P 026122,21.45396962,6.2,2757073.058,589871.9339
P 026124,28.64586439,3,2798923.193,563422.541
P 026125,67.57444295,1,2781128.427,623726.556
P 026127,33.47434158,3,2747216.425,631738.5162
P 026128,97.71319038,8.5,2771155.437,620631.349
P 026130,20.8791393,2,2764145.335,576810.4034
P 026133,33.65880551,12.5,2728465.92,578819.9725
P 028005,99.41692203,12.5,2935460.438,666813.9744
P 028016,45.04346119,2.6,2972373.979,655890.0816
P 028019,53.0687231,4,2946528.891,650936.5801
P 028024,67.68209952,1.9,2934554.406,643296.4825
P 028035,68.29133402,5.3,3022805.779,633334.0653
P 028051,114.397099,12.5,3002676.457,616866.6847
P 028061,154.0597148,12.5,2931110.709,601529.1967
P 028201,69.6602554,6,2943150.219,652810.878
P 028202,53.17813169,3.8,2940881.503,624438.1015
P 028203,111.2705313,2.3,2938951.832,567949.717
P 028204,16.30759376,4,2949731.705,643111.0139
P 028205,65.98220471,5,3016185.065,631751.78
P 028206,75.53708441,5.3,3007498.142,659891.0522
P 028207,60.20529957,1.2,3040704.571,659994.6135
P 028208,236.0861555,9.3,3028410.579,645887.3354
P 028209,44.26496131,5,3042592.144,648086.8891
P 028210,50.5061696,9.7,3068731.014,631588.008
P 028211,111.1023472,13.2,3026485.336,582280.2338
P 028212,51.72733262,7.3,3033963.195,578272.3183
P 030001,23.46794242,2.8,2733788.786,556511.9449
P 030005,27.43293703,2,2716220.746,553202.4334
P 030011,22.43718731,6.1,2787164.474,540766.1274
P 030018,53.01303806,11,2782863.019,535362.3697
P 030022,29.10710387,10,2750159.426,531668.268
P 030024,34.11077709,1.4,2771501.786,530371.3657
